Name,Name,Function
Airportal,EndPortal,ConvertEndPortal
Banner,Banner,ConvertBanner
Beacon,Beacon,ConvertBeacon
Cauldron,BrewingStand,ConvertBrewingStand
Chest,Chest,ConvertChest
Comparator,Comparator,ConvertComparator
Control,CommandBlock,ConvertCommandBlock
DLDetector,DaylightDetector,ConvertDaylightDetector
Dropper,Dropper,ConvertDropper
EnchantTable,EnchantTable,ConvertEnchantmentTable
EndGateway,EndGateway,ConvertEndGateway
EnderChest,EnderChest,ConvertEnderChest
FlowerPot,FlowerPot,ConvertFlowerPot
Furnace,Furnace,ConvertFurnace
Hopper,Hopper,ConvertHopper
MobSpawner,MobSpawner,ConvertMobSpawner
Music,Music,ConvertNoteBlock
Piston,PistonArm,ConvertPiston
RecordPlayer,Jukebox,ConvertJukebox
Sign,Sign,ConvertSign
Skull,Skull,ConvertSkull
Trap,Dispenser,ConvertDispenser
banner,Banner,ConvertBanner
barrel,Barrel,ConvertBarrel
beacon,Beacon,ConvertBeacon
bed,Bed,ConvertBed
beehive,Beehive,ConvertBeehive
bell,Bell,ConvertBell
blast_furnace,BlastFurnace,ConvertBlastFurnace
brewing_stand,BrewingStand,ConvertBrewingStand
campfire,Campfire,ConvertCampfire
chest,Chest,ConvertChest
command_block,CommandBlock,ConvertCommandBlock
comparator,Comparator,ConvertComparator
conduit,Conduit,ConvertConduit
daylight_detector,DaylightDetector,ConvertDaylightDetector
dispenser,Dispenser,ConvertDispenser
dropper,Dropper,ConvertDropper
enchanting_table,EnchantTable,ConvertEnchantmentTable
end_gateway,EndGateway,ConvertEndGateway
end_portal,EndPortal,ConvertEndPortal
ender_chest,EnderChest,ConvertEnderChest
flower_pot,FlowerPot,ConvertFlowerPot
furnace,Furnace,ConvertFurnace
hopper,Hopper,ConvertHopper
jukebox,Jukebox,ConvertJukebox
lectern,Lectern,ConvertLectern
mob_spawner,MobSpawner,ConvertMobSpawner
noteblock,Music,ConvertNoteBlock
piston,PistonArm,ConvertPiston
queued_cauldron,Cauldron,ConvertCauldron
shulker_box,ShulkerBox,ConvertShulkerBox
sign,Sign,ConvertSign
skull,Skull,ConvertSkull
smoker,Smoker,ConvertSmoker
spawner,MobSpawner,ConvertMobSpawner
trapped_chest,Chest,ConvertChest
